run	V(vout1)
1.000000000000000e+00	3.494865e-05
2.000000000000000e+00	3.495350e-05
3.000000000000000e+00	3.487758e-05
4.000000000000000e+00	3.493598e-05
5.000000000000000e+00	3.493984e-05
6.000000000000000e+00	3.492648e-05
7.000000000000000e+00	3.495008e-05
8.000000000000000e+00	3.493082e-05
9.000000000000000e+00	3.490819e-05
1.000000000000000e+01	3.493315e-05
1.100000000000000e+01	3.494194e-05
1.200000000000000e+01	3.494792e-05
1.300000000000000e+01	3.489202e-05
1.400000000000000e+01	3.489856e-05
1.500000000000000e+01	3.492798e-05
1.600000000000000e+01	3.492652e-05
1.700000000000000e+01	3.491673e-05
1.800000000000000e+01	3.492442e-05
1.900000000000000e+01	3.493557e-05
2.000000000000000e+01	3.493195e-05
2.100000000000000e+01	3.496476e-05
2.200000000000000e+01	3.499538e-05
2.300000000000000e+01	3.492993e-05
2.400000000000000e+01	3.489625e-05
2.500000000000000e+01	3.489200e-05
2.600000000000000e+01	3.496559e-05
2.700000000000000e+01	3.494450e-05
2.800000000000000e+01	3.493093e-05
2.900000000000000e+01	3.499649e-05
3.000000000000000e+01	3.493059e-05
3.100000000000000e+01	3.494830e-05
3.200000000000000e+01	3.495406e-05
3.300000000000000e+01	3.497966e-05
3.400000000000000e+01	3.491535e-05
3.500000000000000e+01	3.493093e-05
3.600000000000000e+01	3.499825e-05
3.700000000000000e+01	3.495159e-05
3.800000000000000e+01	3.491480e-05
3.900000000000000e+01	3.493804e-05
4.000000000000000e+01	3.496177e-05
4.100000000000000e+01	3.495964e-05
4.200000000000000e+01	3.494221e-05
4.300000000000000e+01	3.494450e-05
4.400000000000000e+01	3.494647e-05
4.500000000000000e+01	3.499288e-05
4.600000000000000e+01	3.496281e-05
4.700000000000000e+01	3.492286e-05
4.800000000000000e+01	3.492138e-05
4.900000000000000e+01	3.492330e-05
5.000000000000000e+01	3.500768e-05
5.100000000000000e+01	3.489975e-05
5.200000000000000e+01	3.490963e-05
5.300000000000000e+01	3.497181e-05
5.400000000000000e+01	3.497057e-05
5.500000000000000e+01	3.489925e-05
5.600000000000000e+01	3.493459e-05
5.700000000000000e+01	3.494121e-05
5.800000000000000e+01	3.494670e-05
5.900000000000000e+01	3.492705e-05
6.000000000000000e+01	3.494956e-05
6.100000000000000e+01	3.494914e-05
6.200000000000000e+01	3.493532e-05
6.300000000000000e+01	3.492764e-05
6.400000000000000e+01	3.491466e-05
6.500000000000000e+01	3.488454e-05
6.600000000000000e+01	3.497741e-05
6.700000000000000e+01	3.499450e-05
6.800000000000000e+01	3.489466e-05
6.900000000000000e+01	3.495570e-05
7.000000000000000e+01	3.494427e-05
7.100000000000000e+01	3.488077e-05
7.200000000000000e+01	3.490267e-05
7.300000000000000e+01	3.497490e-05
7.400000000000000e+01	3.500652e-05
7.500000000000000e+01	3.497239e-05
7.600000000000000e+01	3.490167e-05
7.700000000000000e+01	3.495476e-05
7.800000000000000e+01	3.492299e-05
7.900000000000000e+01	3.494407e-05
8.000000000000000e+01	3.494925e-05
8.100000000000000e+01	3.498451e-05
8.200000000000000e+01	3.491430e-05
8.300000000000000e+01	3.497621e-05
8.400000000000000e+01	3.490299e-05
8.500000000000000e+01	3.493807e-05
8.600000000000000e+01	3.489557e-05
8.700000000000000e+01	3.490039e-05
8.800000000000000e+01	3.494055e-05
8.900000000000000e+01	3.489530e-05
9.000000000000000e+01	3.489271e-05
9.100000000000000e+01	3.491655e-05
9.200000000000000e+01	3.496222e-05
9.300000000000000e+01	3.494582e-05
9.400000000000000e+01	3.492278e-05
9.500000000000000e+01	3.494895e-05
9.600000000000000e+01	3.496688e-05
9.700000000000000e+01	3.484554e-05
9.800000000000000e+01	3.492138e-05
9.900000000000000e+01	3.498602e-05
1.000000000000000e+02	3.490429e-05
1.010000000000000e+02	3.494565e-05
1.020000000000000e+02	3.487662e-05
1.030000000000000e+02	3.486132e-05
1.040000000000000e+02	3.492660e-05
1.050000000000000e+02	3.489821e-05
1.060000000000000e+02	3.497432e-05
1.070000000000000e+02	3.492408e-05
1.080000000000000e+02	3.490434e-05
1.090000000000000e+02	3.492437e-05
1.100000000000000e+02	3.488362e-05
1.110000000000000e+02	3.495119e-05
1.120000000000000e+02	3.494386e-05
1.130000000000000e+02	3.494032e-05
1.140000000000000e+02	3.495708e-05
1.150000000000000e+02	3.487926e-05
1.160000000000000e+02	3.495489e-05
1.170000000000000e+02	3.492906e-05
1.180000000000000e+02	3.498404e-05
1.190000000000000e+02	3.494705e-05
1.200000000000000e+02	3.499035e-05
1.210000000000000e+02	3.491245e-05
1.220000000000000e+02	3.497201e-05
1.230000000000000e+02	3.487489e-05
1.240000000000000e+02	3.493337e-05
1.250000000000000e+02	3.493587e-05
1.260000000000000e+02	3.496279e-05
1.270000000000000e+02	3.493076e-05
1.280000000000000e+02	3.490131e-05
1.290000000000000e+02	3.495082e-05
1.300000000000000e+02	3.493378e-05
1.310000000000000e+02	3.492556e-05
1.320000000000000e+02	3.492584e-05
1.330000000000000e+02	3.492564e-05
1.340000000000000e+02	3.497036e-05
1.350000000000000e+02	3.491097e-05
1.360000000000000e+02	3.494589e-05
1.370000000000000e+02	3.492719e-05
1.380000000000000e+02	3.491122e-05
1.390000000000000e+02	3.489524e-05
1.400000000000000e+02	3.496417e-05
1.410000000000000e+02	3.502334e-05
1.420000000000000e+02	3.492729e-05
1.430000000000000e+02	3.494062e-05
1.440000000000000e+02	3.490860e-05
1.450000000000000e+02	3.497184e-05
1.460000000000000e+02	3.487816e-05
1.470000000000000e+02	3.492895e-05
1.480000000000000e+02	3.497537e-05
1.490000000000000e+02	3.490117e-05
1.500000000000000e+02	3.488466e-05
1.510000000000000e+02	3.489144e-05
1.520000000000000e+02	3.490092e-05
1.530000000000000e+02	3.492819e-05
1.540000000000000e+02	3.497211e-05
1.550000000000000e+02	3.490355e-05
1.560000000000000e+02	3.493650e-05
1.570000000000000e+02	3.488949e-05
1.580000000000000e+02	3.495668e-05
1.590000000000000e+02	3.489895e-05
1.600000000000000e+02	3.497139e-05
1.610000000000000e+02	3.496330e-05
1.620000000000000e+02	3.490730e-05
1.630000000000000e+02	3.492545e-05
1.640000000000000e+02	3.486040e-05
1.650000000000000e+02	3.490904e-05
1.660000000000000e+02	3.490905e-05
1.670000000000000e+02	3.498612e-05
1.680000000000000e+02	3.495694e-05
1.690000000000000e+02	3.495957e-05
1.700000000000000e+02	3.496509e-05
1.710000000000000e+02	3.494856e-05
1.720000000000000e+02	3.490463e-05
1.730000000000000e+02	3.490031e-05
1.740000000000000e+02	3.492987e-05
1.750000000000000e+02	3.491199e-05
1.760000000000000e+02	3.495409e-05
1.770000000000000e+02	3.490052e-05
1.780000000000000e+02	3.493352e-05
1.790000000000000e+02	3.497334e-05
1.800000000000000e+02	3.495970e-05
1.810000000000000e+02	3.486917e-05
1.820000000000000e+02	3.487715e-05
1.830000000000000e+02	3.492483e-05
1.840000000000000e+02	3.496211e-05
1.850000000000000e+02	3.495941e-05
1.860000000000000e+02	3.499030e-05
1.870000000000000e+02	3.494136e-05
1.880000000000000e+02	3.489651e-05
1.890000000000000e+02	3.493772e-05
1.900000000000000e+02	3.492543e-05
1.910000000000000e+02	3.497399e-05
1.920000000000000e+02	3.497984e-05
1.930000000000000e+02	3.497063e-05
1.940000000000000e+02	3.487746e-05
1.950000000000000e+02	3.493905e-05
1.960000000000000e+02	3.492146e-05
1.970000000000000e+02	3.491112e-05
1.980000000000000e+02	3.492594e-05
1.990000000000000e+02	3.493079e-05
2.000000000000000e+02	3.495817e-05
2.010000000000000e+02	3.496730e-05
2.020000000000000e+02	3.492862e-05
2.030000000000000e+02	3.494048e-05
2.040000000000000e+02	3.492939e-05
2.050000000000000e+02	3.494258e-05
2.060000000000000e+02	3.500145e-05
2.070000000000000e+02	3.493485e-05
2.080000000000000e+02	3.496406e-05
2.090000000000000e+02	3.490425e-05
2.100000000000000e+02	3.493905e-05
2.110000000000000e+02	3.491070e-05
2.120000000000000e+02	3.494676e-05
2.130000000000000e+02	3.489928e-05
2.140000000000000e+02	3.492531e-05
2.150000000000000e+02	3.488424e-05
2.160000000000000e+02	3.488517e-05
2.170000000000000e+02	3.489878e-05
2.180000000000000e+02	3.494202e-05
2.190000000000000e+02	3.490948e-05
2.200000000000000e+02	3.489776e-05
2.210000000000000e+02	3.491929e-05
2.220000000000000e+02	3.493261e-05
2.230000000000000e+02	3.494796e-05
2.240000000000000e+02	3.494981e-05
2.250000000000000e+02	3.497551e-05
2.260000000000000e+02	3.493974e-05
2.270000000000000e+02	3.495936e-05
2.280000000000000e+02	3.493052e-05
2.290000000000000e+02	3.493076e-05
2.300000000000000e+02	3.492356e-05
2.310000000000000e+02	3.492823e-05
2.320000000000000e+02	3.494340e-05
2.330000000000000e+02	3.493023e-05
