run	V(vout2)
1.000000000000000e+00	3.595060e-02
2.000000000000000e+00	3.601470e-02
3.000000000000000e+00	3.596668e-02
4.000000000000000e+00	3.601015e-02
5.000000000000000e+00	3.593146e-02
6.000000000000000e+00	3.598719e-02
7.000000000000000e+00	3.599224e-02
8.000000000000000e+00	3.600918e-02
9.000000000000000e+00	3.595785e-02
1.000000000000000e+01	3.593607e-02
1.100000000000000e+01	3.587921e-02
1.200000000000000e+01	3.596232e-02
1.300000000000000e+01	3.595480e-02
1.400000000000000e+01	3.600940e-02
1.500000000000000e+01	3.598110e-02
1.600000000000000e+01	3.592097e-02
1.700000000000000e+01	3.590893e-02
1.800000000000000e+01	3.598145e-02
1.900000000000000e+01	3.591694e-02
2.000000000000000e+01	3.593631e-02
2.100000000000000e+01	3.597416e-02
2.200000000000000e+01	3.595726e-02
2.300000000000000e+01	3.591247e-02
2.400000000000000e+01	3.595360e-02
2.500000000000000e+01	3.595065e-02
2.600000000000000e+01	3.594143e-02
2.700000000000000e+01	3.595330e-02
2.800000000000000e+01	3.595540e-02
2.900000000000000e+01	3.592726e-02
3.000000000000000e+01	3.599687e-02
3.100000000000000e+01	3.592108e-02
3.200000000000000e+01	3.598541e-02
3.300000000000000e+01	3.592682e-02
3.400000000000000e+01	3.594000e-02
3.500000000000000e+01	3.595300e-02
3.600000000000000e+01	3.600514e-02
3.700000000000000e+01	3.595326e-02
3.800000000000000e+01	3.592247e-02
3.900000000000000e+01	3.597582e-02
4.000000000000000e+01	3.592204e-02
4.100000000000000e+01	3.596452e-02
4.200000000000000e+01	3.598034e-02
4.300000000000000e+01	3.596028e-02
4.400000000000000e+01	3.602016e-02
4.500000000000000e+01	3.593332e-02
4.600000000000000e+01	3.593700e-02
4.700000000000000e+01	3.599117e-02
4.800000000000000e+01	3.590021e-02
4.900000000000000e+01	3.591152e-02
5.000000000000000e+01	3.597559e-02
5.100000000000000e+01	3.592156e-02
5.200000000000000e+01	3.594765e-02
5.300000000000000e+01	3.592711e-02
5.400000000000000e+01	3.599617e-02
5.500000000000000e+01	3.592598e-02
5.600000000000000e+01	3.593893e-02
5.700000000000000e+01	3.597821e-02
5.800000000000000e+01	3.599678e-02
5.900000000000000e+01	3.598351e-02
6.000000000000000e+01	3.596764e-02
6.100000000000000e+01	3.594189e-02
6.200000000000000e+01	3.595925e-02
6.300000000000000e+01	3.593867e-02
6.400000000000000e+01	3.596305e-02
6.500000000000000e+01	3.593738e-02
6.600000000000000e+01	3.593916e-02
6.700000000000000e+01	3.588157e-02
6.800000000000000e+01	3.599385e-02
6.900000000000000e+01	3.596179e-02
7.000000000000000e+01	3.596336e-02
7.100000000000000e+01	3.591777e-02
7.200000000000000e+01	3.597173e-02
7.300000000000000e+01	3.601034e-02
7.400000000000000e+01	3.595002e-02
7.500000000000000e+01	3.598402e-02
7.600000000000000e+01	3.598422e-02
7.700000000000000e+01	3.595843e-02
7.800000000000000e+01	3.597755e-02
7.900000000000000e+01	3.596100e-02
8.000000000000000e+01	3.595093e-02
8.100000000000000e+01	3.594454e-02
8.200000000000000e+01	3.590517e-02
8.300000000000000e+01	3.596827e-02
8.400000000000000e+01	3.597713e-02
8.500000000000000e+01	3.598859e-02
8.600000000000000e+01	3.598975e-02
8.700000000000000e+01	3.601884e-02
8.800000000000000e+01	3.591552e-02
