run	V(vout2)
1.000000000000000e+00	3.488564e-05
2.000000000000000e+00	3.494940e-05
3.000000000000000e+00	3.490279e-05
4.000000000000000e+00	3.494430e-05
5.000000000000000e+00	3.486635e-05
6.000000000000000e+00	3.492122e-05
7.000000000000000e+00	3.492784e-05
8.000000000000000e+00	3.494407e-05
9.000000000000000e+00	3.489157e-05
1.000000000000000e+01	3.487295e-05
1.100000000000000e+01	3.481522e-05
1.200000000000000e+01	3.489629e-05
1.300000000000000e+01	3.488967e-05
1.400000000000000e+01	3.494471e-05
1.500000000000000e+01	3.491743e-05
1.600000000000000e+01	3.485656e-05
1.700000000000000e+01	3.484517e-05
1.800000000000000e+01	3.491748e-05
1.900000000000000e+01	3.485353e-05
2.000000000000000e+01	3.487169e-05
2.100000000000000e+01	3.490837e-05
2.200000000000000e+01	3.489197e-05
2.300000000000000e+01	3.484833e-05
2.400000000000000e+01	3.488869e-05
2.500000000000000e+01	3.488744e-05
2.600000000000000e+01	3.487809e-05
2.700000000000000e+01	3.488858e-05
2.800000000000000e+01	3.489072e-05
2.900000000000000e+01	3.486328e-05
3.000000000000000e+01	3.493261e-05
3.100000000000000e+01	3.485774e-05
3.200000000000000e+01	3.492071e-05
3.300000000000000e+01	3.486375e-05
3.400000000000000e+01	3.487639e-05
3.500000000000000e+01	3.488940e-05
3.600000000000000e+01	3.493938e-05
3.700000000000000e+01	3.488738e-05
3.800000000000000e+01	3.485758e-05
3.900000000000000e+01	3.491119e-05
4.000000000000000e+01	3.485847e-05
4.100000000000000e+01	3.489964e-05
4.200000000000000e+01	3.491670e-05
4.300000000000000e+01	3.489470e-05
4.400000000000000e+01	3.495388e-05
4.500000000000000e+01	3.486747e-05
4.600000000000000e+01	3.487353e-05
4.700000000000000e+01	3.492721e-05
4.800000000000000e+01	3.483710e-05
4.900000000000000e+01	3.484640e-05
5.000000000000000e+01	3.491103e-05
5.100000000000000e+01	3.485732e-05
5.200000000000000e+01	3.488274e-05
5.300000000000000e+01	3.486251e-05
5.400000000000000e+01	3.493233e-05
5.500000000000000e+01	3.485996e-05
5.600000000000000e+01	3.487500e-05
5.700000000000000e+01	3.491274e-05
5.800000000000000e+01	3.493183e-05
5.900000000000000e+01	3.492014e-05
6.000000000000000e+01	3.490345e-05
6.100000000000000e+01	3.487767e-05
6.200000000000000e+01	3.489473e-05
6.300000000000000e+01	3.487493e-05
6.400000000000000e+01	3.489804e-05
6.500000000000000e+01	3.487394e-05
6.600000000000000e+01	3.487320e-05
6.700000000000000e+01	3.481771e-05
6.800000000000000e+01	3.492793e-05
6.900000000000000e+01	3.489651e-05
7.000000000000000e+01	3.489901e-05
7.100000000000000e+01	3.485310e-05
7.200000000000000e+01	3.490607e-05
7.300000000000000e+01	3.494466e-05
7.400000000000000e+01	3.488447e-05
7.500000000000000e+01	3.491786e-05
7.600000000000000e+01	3.491883e-05
7.700000000000000e+01	3.489326e-05
7.800000000000000e+01	3.491252e-05
7.900000000000000e+01	3.489737e-05
8.000000000000000e+01	3.488704e-05
8.100000000000000e+01	3.487856e-05
8.200000000000000e+01	3.484069e-05
8.300000000000000e+01	3.490282e-05
8.400000000000000e+01	3.491221e-05
8.500000000000000e+01	3.492308e-05
8.600000000000000e+01	3.492477e-05
8.700000000000000e+01	3.495223e-05
8.800000000000000e+01	3.485024e-05
8.900000000000000e+01	3.490514e-05
9.000000000000000e+01	3.492438e-05
9.100000000000000e+01	3.493307e-05
9.200000000000000e+01	3.497805e-05
9.300000000000000e+01	3.487220e-05
