run	V(vout1)
1.000000000000000e+00	3.600771e-02
2.000000000000000e+00	3.601213e-02
3.000000000000000e+00	3.593454e-02
4.000000000000000e+00	3.599450e-02
5.000000000000000e+00	3.599835e-02
6.000000000000000e+00	3.598505e-02
7.000000000000000e+00	3.600911e-02
8.000000000000000e+00	3.598864e-02
9.000000000000000e+00	3.596582e-02
1.000000000000000e+01	3.599102e-02
1.100000000000000e+01	3.599980e-02
1.200000000000000e+01	3.600647e-02
1.300000000000000e+01	3.594981e-02
1.400000000000000e+01	3.595670e-02
1.500000000000000e+01	3.598543e-02
1.600000000000000e+01	3.598357e-02
1.700000000000000e+01	3.597534e-02
1.800000000000000e+01	3.598221e-02
1.900000000000000e+01	3.599258e-02
2.000000000000000e+01	3.599077e-02
2.100000000000000e+01	3.602270e-02
2.200000000000000e+01	3.605387e-02
2.300000000000000e+01	3.598806e-02
2.400000000000000e+01	3.595308e-02
2.500000000000000e+01	3.594888e-02
2.600000000000000e+01	3.602499e-02
2.700000000000000e+01	3.600208e-02
2.800000000000000e+01	3.598862e-02
2.900000000000000e+01	3.605475e-02
3.000000000000000e+01	3.598865e-02
3.100000000000000e+01	3.600596e-02
3.200000000000000e+01	3.601265e-02
3.300000000000000e+01	3.603737e-02
3.400000000000000e+01	3.597365e-02
3.500000000000000e+01	3.598922e-02
3.600000000000000e+01	3.605646e-02
3.700000000000000e+01	3.601054e-02
3.800000000000000e+01	3.597402e-02
3.900000000000000e+01	3.599579e-02
4.000000000000000e+01	3.601927e-02
4.100000000000000e+01	3.601744e-02
4.200000000000000e+01	3.599956e-02
4.300000000000000e+01	3.600097e-02
4.400000000000000e+01	3.600395e-02
4.500000000000000e+01	3.605146e-02
4.600000000000000e+01	3.602022e-02
4.700000000000000e+01	3.597920e-02
4.800000000000000e+01	3.597852e-02
4.900000000000000e+01	3.598057e-02
5.000000000000000e+01	3.606675e-02
5.100000000000000e+01	3.595819e-02
5.200000000000000e+01	3.596751e-02
5.300000000000000e+01	3.602962e-02
5.400000000000000e+01	3.602923e-02
5.500000000000000e+01	3.595582e-02
5.600000000000000e+01	3.599151e-02
5.700000000000000e+01	3.599859e-02
5.800000000000000e+01	3.600520e-02
5.900000000000000e+01	3.598411e-02
6.000000000000000e+01	3.600873e-02
6.100000000000000e+01	3.600742e-02
6.200000000000000e+01	3.599416e-02
6.300000000000000e+01	3.598418e-02
6.400000000000000e+01	3.597142e-02
6.500000000000000e+01	3.594125e-02
6.600000000000000e+01	3.603600e-02
6.700000000000000e+01	3.605355e-02
6.800000000000000e+01	3.595280e-02
6.900000000000000e+01	3.601268e-02
7.000000000000000e+01	3.600239e-02
7.100000000000000e+01	3.593978e-02
7.200000000000000e+01	3.596024e-02
7.300000000000000e+01	3.603408e-02
7.400000000000000e+01	3.606518e-02
7.500000000000000e+01	3.603130e-02
7.600000000000000e+01	3.595946e-02
7.700000000000000e+01	3.601295e-02
7.800000000000000e+01	3.598012e-02
7.900000000000000e+01	3.600210e-02
8.000000000000000e+01	3.600749e-02
8.100000000000000e+01	3.604325e-02
8.200000000000000e+01	3.597129e-02
8.300000000000000e+01	3.603361e-02
8.400000000000000e+01	3.595950e-02
8.500000000000000e+01	3.599550e-02
8.600000000000000e+01	3.595265e-02
8.700000000000000e+01	3.595870e-02
8.800000000000000e+01	3.599911e-02
8.900000000000000e+01	3.595220e-02
9.000000000000000e+01	3.595009e-02
9.100000000000000e+01	3.597330e-02
9.200000000000000e+01	3.601866e-02
9.300000000000000e+01	3.600363e-02
9.400000000000000e+01	3.598147e-02
9.500000000000000e+01	3.600727e-02
9.600000000000000e+01	3.602552e-02
9.700000000000000e+01	3.590259e-02
9.800000000000000e+01	3.598038e-02
9.900000000000000e+01	3.604463e-02
1.000000000000000e+02	3.596257e-02
1.010000000000000e+02	3.600402e-02
1.020000000000000e+02	3.593423e-02
1.030000000000000e+02	3.591862e-02
1.040000000000000e+02	3.598453e-02
1.050000000000000e+02	3.595517e-02
1.060000000000000e+02	3.603186e-02
1.070000000000000e+02	3.598263e-02
1.080000000000000e+02	3.596069e-02
1.090000000000000e+02	3.598223e-02
1.100000000000000e+02	3.594085e-02
1.110000000000000e+02	3.601029e-02
1.120000000000000e+02	3.600145e-02
1.130000000000000e+02	3.599788e-02
1.140000000000000e+02	3.601453e-02
1.150000000000000e+02	3.593662e-02
1.160000000000000e+02	3.601282e-02
1.170000000000000e+02	3.598712e-02
1.180000000000000e+02	3.604327e-02
1.190000000000000e+02	3.600548e-02
1.200000000000000e+02	3.604928e-02
1.210000000000000e+02	3.597017e-02
1.220000000000000e+02	3.603041e-02
1.230000000000000e+02	3.593143e-02
1.240000000000000e+02	3.599017e-02
1.250000000000000e+02	3.599325e-02
1.260000000000000e+02	3.601997e-02
1.270000000000000e+02	3.598953e-02
1.280000000000000e+02	3.595905e-02
1.290000000000000e+02	3.600983e-02
1.300000000000000e+02	3.599120e-02
1.310000000000000e+02	3.598325e-02
1.320000000000000e+02	3.598250e-02
1.330000000000000e+02	3.598396e-02
1.340000000000000e+02	3.602959e-02
1.350000000000000e+02	3.596778e-02
1.360000000000000e+02	3.600471e-02
1.370000000000000e+02	3.598412e-02
1.380000000000000e+02	3.596760e-02
1.390000000000000e+02	3.595220e-02
1.400000000000000e+02	3.602240e-02
1.410000000000000e+02	3.608166e-02
1.420000000000000e+02	3.598598e-02
1.430000000000000e+02	3.599871e-02
1.440000000000000e+02	3.596634e-02
1.450000000000000e+02	3.602971e-02
1.460000000000000e+02	3.593480e-02
1.470000000000000e+02	3.598570e-02
1.480000000000000e+02	3.603392e-02
1.490000000000000e+02	3.595883e-02
1.500000000000000e+02	3.594314e-02
1.510000000000000e+02	3.594847e-02
1.520000000000000e+02	3.595929e-02
1.530000000000000e+02	3.598586e-02
1.540000000000000e+02	3.602913e-02
1.550000000000000e+02	3.596126e-02
1.560000000000000e+02	3.599459e-02
1.570000000000000e+02	3.594635e-02
1.580000000000000e+02	3.601488e-02
1.590000000000000e+02	3.595554e-02
1.600000000000000e+02	3.603084e-02
1.610000000000000e+02	3.602094e-02
1.620000000000000e+02	3.596471e-02
1.630000000000000e+02	3.598339e-02
1.640000000000000e+02	3.591739e-02
1.650000000000000e+02	3.596724e-02
1.660000000000000e+02	3.596575e-02
1.670000000000000e+02	3.604513e-02
1.680000000000000e+02	3.601516e-02
1.690000000000000e+02	3.601705e-02
1.700000000000000e+02	3.602269e-02
1.710000000000000e+02	3.600674e-02
1.720000000000000e+02	3.596248e-02
1.730000000000000e+02	3.595674e-02
1.740000000000000e+02	3.598689e-02
1.750000000000000e+02	3.596940e-02
1.760000000000000e+02	3.601245e-02
1.770000000000000e+02	3.595803e-02
1.780000000000000e+02	3.599226e-02
1.790000000000000e+02	3.603095e-02
1.800000000000000e+02	3.601766e-02
1.810000000000000e+02	3.592598e-02
1.820000000000000e+02	3.593482e-02
1.830000000000000e+02	3.598233e-02
1.840000000000000e+02	3.601989e-02
1.850000000000000e+02	3.601740e-02
1.860000000000000e+02	3.604962e-02
1.870000000000000e+02	3.599807e-02
1.880000000000000e+02	3.595331e-02
1.890000000000000e+02	3.599514e-02
1.900000000000000e+02	3.598418e-02
1.910000000000000e+02	3.603327e-02
1.920000000000000e+02	3.603898e-02
1.930000000000000e+02	3.602792e-02
1.940000000000000e+02	3.593515e-02
1.950000000000000e+02	3.599594e-02
1.960000000000000e+02	3.597881e-02
1.970000000000000e+02	3.596888e-02
1.980000000000000e+02	3.598291e-02
1.990000000000000e+02	3.599014e-02
2.000000000000000e+02	3.601743e-02
2.010000000000000e+02	3.602671e-02
2.020000000000000e+02	3.598654e-02
2.030000000000000e+02	3.599679e-02
2.040000000000000e+02	3.598746e-02
2.050000000000000e+02	3.600000e-02
2.060000000000000e+02	3.606100e-02
2.070000000000000e+02	3.599150e-02
2.080000000000000e+02	3.602268e-02
2.090000000000000e+02	3.596173e-02
2.100000000000000e+02	3.599684e-02
2.110000000000000e+02	3.596903e-02
2.120000000000000e+02	3.600482e-02
2.130000000000000e+02	3.595757e-02
2.140000000000000e+02	3.598277e-02
2.150000000000000e+02	3.594133e-02
2.160000000000000e+02	3.594276e-02
2.170000000000000e+02	3.595571e-02
2.180000000000000e+02	3.600056e-02
2.190000000000000e+02	3.596719e-02
2.200000000000000e+02	3.595585e-02
2.210000000000000e+02	3.597721e-02
2.220000000000000e+02	3.598974e-02
2.230000000000000e+02	3.600537e-02
2.240000000000000e+02	3.600764e-02
2.250000000000000e+02	3.603283e-02
2.260000000000000e+02	3.599812e-02
2.270000000000000e+02	3.601805e-02
2.280000000000000e+02	3.598909e-02
2.290000000000000e+02	3.598726e-02
2.300000000000000e+02	3.598134e-02
2.310000000000000e+02	3.598608e-02
2.320000000000000e+02	3.600188e-02
2.330000000000000e+02	3.598683e-02
2.340000000000000e+02	3.596599e-02
2.350000000000000e+02	3.602379e-02
2.360000000000000e+02	3.598852e-02
